X,Y,ID,Ottawa__Police_Division,Ottawa_Police_Sector,Report_Date,Incident_StartDate,Incident_EndDate,Weekday,Location_Type,Primary_Offence,ONS_Neighbourhood_2019,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Colour,Bicycle_Speed,X,Y,Census_Tract_Unique_ID,Census_Tract_Name,Object_ID,OBJECTID
352227.8471,5020057.999,68,West,13,2-Aug-20,27-Jul-20,31-Jul-20,2,,THEFT<BICYCLE,Beaverbrook,Stolen,1125,MEC, SILHOUETTE 201,HYBRID,UNISEX,Blue,24,352227.8471,5020057.999,5050160.06,160.06,68,67
351771.6189,5021410.487,69,West,13,8-Aug-20,5-Aug-20,6-Aug-20,4,,THEFT<BICYCLE,Beaverbrook,Stolen,150,DIAMOND BACK,UNKNOWN,MOUNTAIN,MEN'S,Blue,,351771.6189,5021410.487,5050160.02,160.02,69,68
351896.6189,5021022.484,70,West,13,23-Aug-20,22-Aug-20,23-Aug-20,7,,THEFT<BICYCLE,Beaverbrook,Recovered,300,CAPIX,VILLAIN,BMX,CHILD'S,Black,0,351896.6189,5021022.484,5050160.02,160.02,70,69
351570.6181,5021504.488,71,West,13,14-Sep-20,11-Sep-20,12-Sep-20,6,,THEFT<BICYCLE,Beaverbrook,Stolen,150,SUPERCYCLE,CAMO,REGULAR,CHILD'S,Green,,351570.6181,5021504.488,5050160.02,160.02,71,70
359078.6649,5020885.483,72,West,15,30-Apr-15,30-Apr-15,30-Apr-15,5,High school,THEFT<BICYCLE,Bells Corners East,Stolen,200,VELOSPORT,FLAIR,MOUNTAIN,UNISEX,Blue,18,359078.6649,5020885.483,5050135.02,135.02,72,71
358175.66,5021108.484,73,West,15,6-Sep-15,6-Sep-15,6-Sep-15,1,Convenience Store / Chain Store/ Grocery Store/ Small Business,THEFT<BICYCLE,Bells Corners East,Stolen,500,DAVINCHI,MILANO,HYBRID,MEN'S,Grey,21,358175.66,5021108.484,5050136.01,136.01,73,72
357873.657,5020928.482,74,West,15,24-Sep-15,24-Sep-15,24-Sep-15,5,,THEFT<BICYCLE,Bells Corners East,Stolen,2000,KONA,BIG KAHUNA,MOUNTAIN,MEN'S,"Green, White",10,357873.657,5020928.482,,,74,73
357873.657,5020928.482,75,West,15,24-Sep-15,24-Sep-15,24-Sep-15,5,,THEFT<BICYCLE,Bells Corners East,Stolen,200,GIANT,BOULDER SE,MOUNTAIN,MEN'S,Red,21,357873.657,5020928.482,,,75,74
357617.4924,5020613.31,76,West,15,17-Dec-15,15-Dec-15,15-Dec-15,3,Schools,THEFT<BICYCLE,Bells Corners East,Stolen,100,UNKNKOWN,UNKNOWN,MOUNTAIN,MEN'S,"Black, Red",10,357617.4924,5020613.31,5050136.01,136.01,76,75
358888.6641,5021150.485,77,West,15,12-Aug-16,11-Aug-16,12-Aug-16,5,,THEFT<BICYCLE,Bells Corners East,Stolen,100,MIELE,UNKNOWN,HYBRID,MEN'S,Red,21,358888.6641,5021150.485,5050136.01,136.01,77,76
