Date,Province,HA,HSDA,Cases_Reported,Cases_Reported_Smoothed,Year,Month,Day,Day of Week
2020-03-13,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,13,Friday
2020-03-13,BC,Vancouver Island,North Vancouver Island,1,0.14,2020,03,13,Friday
2020-03-13,BC,Vancouver Island,South Vancouver Island,0,0.14,2020,03,13,Friday
2020-03-14,BC,Vancouver Coastal,Vancouver,8,2.86,2020,03,14,Saturday
2020-03-14,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,14,Saturday
2020-03-14,BC,Vancouver Island,North Vancouver Island,2,0.43,2020,03,14,Saturday
2020-03-14,BC,Vancouver Island,South Vancouver Island,1,0.29,2020,03,14,Saturday
2020-03-15,BC,Vancouver Coastal,Vancouver,4,3.43,2020,03,15,Sunday
2020-03-15,BC,Vancouver Island,Central Vancouver Island,1,0.14,2020,03,15,Sunday
2020-03-15,BC,Vancouver Island,North Vancouver Island,1,0.57,2020,03,15,Sunday
2020-03-15,BC,Vancouver Island,South Vancouver Island,1,0.43,2020,03,15,Sunday
2020-03-16,BC,Vancouver Coastal,Vancouver,11,5.0,2020,03,16,Monday
2020-03-16,BC,Vancouver Island,Central Vancouver Island,0,0.14,2020,03,16,Monday
2020-03-16,BC,Vancouver Island,North Vancouver Island,1,0.71,2020,03,16,Monday
2020-03-16,BC,Vancouver Island,South Vancouver Island,4,1.0,2020,03,16,Monday
2020-03-17,BC,Vancouver Coastal,Vancouver,9,5.86,2020,03,17,Tuesday
2020-03-17,BC,Vancouver Island,Central Vancouver Island,0,0.14,2020,03,17,Tuesday
2020-03-17,BC,Vancouver Island,North Vancouver Island,2,1.0,2020,03,17,Tuesday
2020-03-17,BC,Vancouver Island,South Vancouver Island,0,0.86,2020,03,17,Tuesday
2020-03-18,BC,Vancouver Coastal,Vancouver,15,7.43,2020,03,18,Wednesday
2020-03-18,BC,Vancouver Island,Central Vancouver Island,1,0.29,2020,03,18,Wednesday
2020-03-18,BC,Vancouver Island,North Vancouver Island,3,1.43,2020,03,18,Wednesday
2020-03-18,BC,Vancouver Island,South Vancouver Island,3,1.29,2020,03,18,Wednesday
2020-03-19,BC,Vancouver Coastal,Vancouver,19,9.86,2020,03,19,Thursday
2020-03-19,BC,Vancouver Island,Central Vancouver Island,2,0.57,2020,03,19,Thursday
2020-03-19,BC,Vancouver Island,North Vancouver Island,2,1.71,2020,03,19,Thursday
2020-03-19,BC,Vancouver Island,South Vancouver Island,4,1.86,2020,03,19,Thursday
2020-03-20,BC,Vancouver Coastal,Vancouver,21,12.43,2020,03,20,Friday
2020-03-20,BC,Vancouver Island,Central Vancouver Island,1,0.71,2020,03,20,Friday
2020-03-20,BC,Vancouver Island,North Vancouver Island,1,1.71,2020,03,20,Friday
2020-03-20,BC,Vancouver Island,South Vancouver Island,3,2.29,2020,03,20,Friday
2020-03-21,BC,Vancouver Coastal,Vancouver,25,14.86,2020,03,21,Saturday
2020-03-21,BC,Vancouver Island,Central Vancouver Island,1,0.86,2020,03,21,Saturday
2020-03-21,BC,Vancouver Island,North Vancouver Island,0,1.43,2020,03,21,Saturday
2020-03-21,BC,Vancouver Island,South Vancouver Island,1,2.29,2020,03,21,Saturday
2020-03-22,BC,Vancouver Coastal,Vancouver,17,16.71,2020,03,22,Sunday
2020-03-22,BC,Vancouver Island,Central Vancouver Island,1,0.86,2020,03,22,Sunday
2020-03-22,BC,Vancouver Island,North Vancouver Island,0,1.29,2020,03,22,Sunday
